student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
3437,Michele Durham,Female,24,Computer,49.73,2025-06-09,Thomasport,Year 2,Figueroa-Marshall
8768,Alex Rhodes,Female,18,Math,95.54,2025-07-08,Emilybury,Year 2,"Atkinson, Peck and Wilkins"
5095,Douglas Griffith,Female,24,Science,76.41,2024-12-03,South Melissaburgh,Year 3,Payne-Burnett
5365,Krista Wallace,Male,18,English,89.48,2025-04-08,West Robertshire,Year 3,"Soto, Smith and Rodriguez"
4738,Stephanie Jones,Female,24,Math,92.47,2025-10-17,Tylerfurt,Year 1,Hall Inc
3693,Tiffany Petty,Female,25,Math,92.39,2025-01-15,New Williamfort,Year 3,Martin-Grimes
4388,Danielle Jones,Male,19,History,85.08,2025-03-03,New Alicia,Year 1,Mills LLC
2439,Thomas Blake,Female,21,English,74.6,2025-03-17,West Jennifer,Year 1,Keith-Trujillo
3933,Kelly Erickson,Female,23,Science,71.69,2025-05-26,Nolanland,Year 1,Lyons Ltd
8205,Bruce Stewart,Male,21,Science,65.45,2025-10-01,Cathytown,Year 3,Carter Ltd
1138,Lauren Pennington,Female,18,English,66.83,2025-04-10,North Ericmouth,Year 3,Watts-Jones
6890,Christopher Miller,Male,21,Science,91.91,2025-03-04,Allenton,Year 4,Bowen-Payne
4835,Bruce Mullins,Male,21,History,52.49,2025-07-02,Ortizside,Year 2,Smith-Frederick
8293,Tracey Bailey MD,Male,19,English,75.89,2025-03-03,Wilsontown,Year 2,Hickman-Hardy
9412,Leslie Graham,Male,21,Math,62.48,2025-03-01,South Calvin,Year 1,Sanford and Sons
9636,Matthew Baker,Female,24,Science,77.03,2025-10-12,North Madelineside,Year 1,"Bonilla, White and Kelly"
3650,Paul Barton,Female,25,History,40.56,2025-02-18,Sloantown,Year 4,Reid-Terry
1521,Bruce Warren,Male,19,Math,40.83,2025-07-29,Traceyburgh,Year 1,Davis and Sons
7055,Colleen Gonzalez,Female,18,English,74.59,2025-05-05,West Nicholas,Year 3,Hunt-Mcdonald
4121,Jessica Miranda,Male,24,Math,49.44,2024-11-29,Jacquelinestad,Year 3,Luna-Baker
7427,Shaun Ballard,Female,21,Math,55.13,2025-10-20,Port Cindymouth,Year 3,"Hartman, Smith and Huff"
5227,Sean Ruiz,Male,22,Math,45.1,2024-11-01,North Bobby,Year 1,Gibbs and Sons
3252,James Allen,Male,24,History,93.04,2025-06-27,West Scott,Year 2,Pittman and Sons
5320,Melissa Hernandez,Female,18,Computer,94.19,2024-12-16,Alanburgh,Year 4,"Carroll, Smith and Hardin"
5350,Tim Powell,Female,18,Science,99.31,2025-08-24,Norrisshire,Year 2,Waller PLC
4387,Daniel Smith,Male,24,Math,71.87,2024-11-24,Lisabury,Year 3,Dominguez-Hart
6243,Jennifer Richards,Male,24,Computer,75.36,2025-05-02,North Sharonville,Year 2,Little PLC
4230,Michelle Valenzuela,Male,21,History,99.53,2025-02-20,Jonesview,Year 4,"Werner, Tapia and Parker"
1960,Jamie Rodriguez,Male,23,English,84.19,2025-03-18,South Bradleystad,Year 4,"Christensen, Davis and Medina"
7344,Mr. Michael Mosley,Male,19,Math,50.08,2025-04-29,West Danielstad,Year 3,"Trujillo, Carlson and Miller"
7563,Marcus Stone,Female,20,History,60.36,2025-03-03,East Andre,Year 4,Long-Martinez
4187,Timothy Grant,Female,21,Science,64.32,2025-03-12,Port Tonyafort,Year 1,"Valdez, Wallace and Rice"
5236,Ashlee Gallegos,Female,24,History,66.92,2025-09-10,Darinmouth,Year 4,"Olsen, Santana and Duarte"
3204,Johnathan Flores,Male,18,English,69.18,2025-07-17,Oconnorborough,Year 3,Walker-Scott
4632,Joel Perez,Male,18,English,58.98,2025-01-23,Antonioside,Year 1,Williams-Martin
5686,Patricia Foster,Female,21,History,68.36,2025-02-18,Danielland,Year 3,Lee-Davis
1660,Pamela Daniel,Female,23,Computer,44.43,2025-07-19,Davidborough,Year 1,Ward PLC
2452,Amy Brown,Male,19,Computer,58.59,2024-10-29,Lake Daisy,Year 2,"Espinoza, Jones and Wright"
3681,Jennifer Malone,Female,22,History,69.73,2025-10-12,Lukeland,Year 2,Coleman-Potter
2935,Megan Love,Female,22,Science,40.92,2025-07-16,Shannonstad,Year 1,Duarte LLC
7448,Kathryn Sparks,Male,21,Computer,56.26,2025-09-22,Victoriaside,Year 3,Friedman Group
1274,Michael Hudson,Male,20,History,51.56,2025-08-01,Webbport,Year 2,Beard LLC
4607,Dave Palmer,Female,20,English,52.83,2025-07-29,Jamesview,Year 2,"Green, Williams and Pugh"
7020,Laura Herman,Male,21,History,87.6,2025-06-20,Port Heathershire,Year 2,"Bell, Snyder and Mueller"
4227,Renee Reynolds,Female,25,Science,66.44,2025-09-24,Kevinborough,Year 2,"Martin, Marks and Ayers"
1881,Brett Schultz,Female,18,Computer,61.15,2024-11-18,Jasonport,Year 2,Lewis-Rodgers
